,Individual,Site,Date_Collected,Date_Processed,Algal_#,Algae_wt_(g),Eyespot,OMU_size,Magnification,Scope,Initials,Size,Julian_Day
0,DD_10Jun12_1,DD,10-Jun-12,29-Jun-14,2,,1.0,28.0,4.0,H,NM,0.7,162
1,DD_10Jun12_2,DD,10-Jun-12,29-Jun-14,3,,1.0,32.0,4.0,H,NM,0.8,162
2,DD_23Jun12_1,DD,23-Jun-12,1-Jul-14,1,,1.0,33.0,4.0,H,NM,0.825,175
3,DD_23Jun12_10,DD,23-Jun-12,1-Jul-14,5,,1.0,30.0,4.0,H,NM,0.75,175
4,DD_23Jun12_2,DD,23-Jun-12,1-Jul-14,1,,1.0,30.0,4.0,H,NM,0.75,175
5,DD_23Jun12_3,DD,23-Jun-12,1-Jul-14,2,,0.0,40.0,4.0,H,NM,1.0,175
6,DD_23Jun12_4,DD,23-Jun-12,1-Jul-14,2,,1.0,34.0,4.0,H,NM,0.85,175
7,DD_23Jun12_5,DD,23-Jun-12,1-Jul-14,5,,1.0,40.0,4.0,H,NM,1.0,175
8,DD_23Jun12_6,DD,23-Jun-12,1-Jul-14,5,,1.0,24.0,4.0,H,NM,0.6,175
9,DD_23Jun12_7,DD,23-Jun-12,1-Jul-14,5,,1.0,29.0,4.0,H,NM,0.725,175
10,DD_23Jun12_8,DD,23-Jun-12,1-Jul-14,5,,1.0,31.0,4.0,H,NM,0.775,175
11,DD_23Jun12_9,DD,23-Jun-12,1-Jul-14,5,,1.0,33.0,4.0,H,NM,0.825,175
12,DD_28Jun12_1,DD,28-Jun-12,8-Jul-14,1,,1.0,31.0,3.0,H,NM,1.033,180
13,DD_28Jun12_2,DD,28-Jun-12,8-Jul-14,1,,1.0,27.0,3.0,H,NM,0.9,180
14,DD_28Jun12_3,DD,28-Jun-12,8-Jul-14,1,,1.0,24.0,3.0,H,NM,0.8,180
15,DD_28Jun12_4,DD,28-Jun-12,8-Jul-14,2,,1.0,32.0,3.0,H,NM,1.067,180
16,DD_28Jun12_5,DD,28-Jun-12,8-Jul-14,3,,1.0,30.0,3.0,H,NM,1.0,180
17,DD_28Jun12_6,DD,28-Jun-12,8-Jul-14,3,,1.0,28.0,3.0,H,NM,0.9329999999999999,180
18,DD_28Jun12_7,DD,28-Jun-12,8-Jul-14,5,,1.0,20.0,3.0,H,NM,0.667,180
19,DD_2Jul12_1,DD,2-Jul-12,8-Jul-14,1,,0.0,45.0,1.2,H,NM,3.6,184
20,DD_2Jul12_2,DD,2-Jul-12,8-Jul-14,4,,0.0,30.0,3.0,H,NM,1.0,184
21,DD_7Jul12_1,DD,7-Jul-12,2-Jul-14,3,,0.0,33.0,4.0,H,NM,0.825,220
22,DD_7Jul12_2,DD,7-Jul-12,2-Jul-14,4,,0.0,38.0,4.0,H,NM,0.95,220
23,DD_7Jul12_3,DD,7-Jul-12,2-Jul-14,5,,0.0,56.0,4.0,H,NM,1.4,220
24,LS_13May12_1,LS,13-May-12,8-May-14,1,,0.0,34.0,3.0,H,NM,1.133,134
25,LS_13May12_2,LS,13-May-12,8-May-14,1,,1.0,15.0,3.0,H,NM,0.5,134
26,LS_13May12_3,LS,13-May-12,8-May-14,1,,1.0,13.0,4.0,H,NM,0.325,134
27,LS_13May12_4,LS,13-May-12,8-May-14,1,,1.0,14.0,4.0,H,NM,0.35,134
28,LS_13May12_5,LS,13-May-12,8-May-14,1,,0.0,41.0,3.0,H,NM,1.367,134
29,LS_13May12_6,LS,13-May-12,8-May-14,1,,0.0,23.0,3.0,H,NM,0.767,134
30,LS_13May12_7,LS,13-May-12,8-May-14,5,,1.0,17.0,4.0,H,NM,0.425,134
31,LS_13May12_8,LS,13-May-12,8-May-14,5,,1.0,33.0,4.0,H,NM,0.825,134
32,LS_13May12_9,LS,13-May-12,8-May-14,5,,1.0,25.0,4.0,H,NM,0.625,134
33,LS_18May12_1,LS,18-May-12,27-May-14,2,,0.0,48.0,3.0,H,NM,1.6,139
34,LS_18May12_2,LS,18-May-12,27-May-14,2,,1.0,20.0,3.0,H,NM,0.667,139
35,LS_18May12_3,LS,18-May-12,27-May-14,2,,0.0,34.0,3.0,H,NM,1.133,139
36,LS_18May12_4,LS,18-May-12,27-May-14,3,,1.0,30.0,3.0,H,NM,1.0,139
37,LS_18May12_5,LS,18-May-12,27-May-14,3,,0.0,88.0,3.0,H,NM,2.9330000000000003,139
38,LS_18May12_6,LS,18-May-12,27-May-14,4,,0.0,29.0,3.0,H,NM,0.9670000000000001,139
39,LS_18May12_7,LS,18-May-12,27-May-14,5,,1.0,18.0,3.0,H,NM,0.6,139
40,LS_18May12_8,LS,18-May-12,27-May-14,5,,1.0,14.0,4.0,H,NM,0.35,139
41,LS_22May12_1,LS,22-May-12,27-May-14,2,,0.0,55.0,3.0,H,NM,1.8330000000000002,143
42,LS_22May12_2,LS,22-May-12,27-May-14,2,,1.0,45.0,3.0,H,NM,1.5,143
43,LS_22May12_3,LS,22-May-12,27-May-14,3,,0.0,79.0,3.0,H,NM,2.633,143
44,LS_22May12_4,LS,22-May-12,27-May-14,3,,0.0,81.0,3.0,H,NM,2.7,143
45,LS_22May12_5,LS,22-May-12,27-May-14,3,,0.0,32.0,3.0,H,NM,1.067,143
46,LS_22May12_6,LS,22-May-12,27-May-14,4,,0.0,33.0,3.0,H,NM,1.1,143
47,LS_22May12_7,LS,22-May-12,27-May-14,5,,0.0,38.0,3.0,H,NM,1.2670000000000001,143
48,LS_25May12_1,LS,25-May-12,27-May-14,1,,1.0,18.0,5.0,H,NM,0.36,146
49,LS_25May12_10,LS,25-May-12,27-May-14,1,,1.0,24.0,5.0,H,NM,0.48,146
50,LS_25May12_11,LS,25-May-12,27-May-14,2,,1.0,25.0,5.0,H,NM,0.5,146
51,LS_25May12_12,LS,25-May-12,27-May-14,2,,1.0,21.0,5.0,H,NM,0.42,146
52,LS_25May12_13,LS,25-May-12,27-May-14,3,,1.0,41.0,3.0,H,NM,1.367,146
53,LS_25May12_14,LS,25-May-12,27-May-14,3,,0.0,61.0,3.0,H,NM,2.033,146
54,LS_25May12_15,LS,25-May-12,27-May-14,4,,0.0,45.0,3.0,H,NM,1.5,146
55,LS_25May12_2,LS,25-May-12,27-May-14,1,,1.0,15.0,5.0,H,NM,0.3,146
56,LS_25May12_3,LS,25-May-12,27-May-14,1,,1.0,23.0,5.0,H,NM,0.46,146
57,LS_25May12_4,LS,25-May-12,27-May-14,1,,1.0,20.0,5.0,H,NM,0.4,146
58,LS_25May12_5,LS,25-May-12,27-May-14,1,,1.0,19.0,5.0,H,NM,0.38,146
59,LS_25May12_6,LS,25-May-12,27-May-14,1,,1.0,21.0,5.0,H,NM,0.42,146
60,LS_25May12_7,LS,25-May-12,27-May-14,1,,1.0,18.0,5.0,H,NM,0.36,146
61,LS_25May12_8,LS,25-May-12,27-May-14,1,,1.0,20.0,5.0,H,NM,0.4,146
62,LS_25May12_9,LS,25-May-12,27-May-14,1,,1.0,25.0,5.0,H,NM,0.5,146
63,LS_7Sep12_1,LS,28-May-12,28-May-14,1,,0.0,74.0,3.0,H,NM,2.4659999999999997,149
64,LS_7Sep12_10,LS,28-May-12,28-May-14,5,,0.0,43.0,3.0,H,NM,1.433,149
65,LS_7Sep12_2,LS,28-May-12,28-May-14,1,,0.0,45.0,3.0,H,NM,1.5,149
66,LS_7Sep12_3,LS,28-May-12,28-May-14,1,,0.0,46.0,1.2,H,NM,3.68,149
67,LS_7Sep12_4,LS,28-May-12,28-May-14,2,,1.0,31.0,3.0,H,NM,1.033,149
68,LS_7Sep12_5,LS,28-May-12,28-May-14,3,,0.0,57.0,3.0,H,NM,1.9,149
69,LS_7Sep12_6,LS,28-May-12,28-May-14,3,,0.0,40.0,3.0,H,NM,1.3330000000000002,149
70,LS_7Sep12_7,LS,28-May-12,28-May-14,3,,1.0,32.0,3.0,H,NM,1.067,149
71,LS_7Sep12_8,LS,28-May-12,28-May-14,3,,0.0,37.0,3.0,H,NM,1.2329999999999999,149
72,LS_7Sep12_9,LS,28-May-12,28-May-14,3,,0.0,65.0,3.0,H,NM,2.166,149
73,LS_10Jun12_1,LS,10-Jun-12,9-May-14,1,,0.0,22.0,3.0,H,NM,0.733,162
74,LS_10Jun12_10,LS,10-Jun-12,9-May-14,5,,0.0,26.0,4.0,H,NM,0.65,162
75,LS_10Jun12_11,LS,10-Jun-12,9-May-14,5,,0.0,20.0,4.0,H,NM,0.5,162
76,LS_10Jun12_2,LS,10-Jun-12,9-May-14,2,,1.0,19.0,4.0,H,NM,0.475,162
77,LS_10Jun12_3,LS,10-Jun-12,9-May-14,2,,1.0,17.0,4.0,H,NM,0.425,162
78,LS_10Jun12_4,LS,10-Jun-12,9-May-14,2,,0.0,23.0,4.0,H,NM,0.575,162
79,LS_10Jun12_5,LS,10-Jun-12,9-May-14,2,,1.0,22.0,4.0,H,NM,0.55,162
80,LS_10Jun12_6,LS,10-Jun-12,9-May-14,2,,0.0,25.0,4.0,H,NM,0.625,162
81,LS_10Jun12_7,LS,10-Jun-12,9-May-14,3,,0.0,25.0,4.0,H,NM,0.625,162
82,LS_10Jun12_8,LS,10-Jun-12,9-May-14,5,,0.0,42.0,4.0,H,NM,1.05,162
83,LS_10Jun12_9,LS,10-Jun-12,9-May-14,5,,0.0,20.0,4.0,H,NM,0.5,162
84,LS_21Jun12_1,LS,21-Jun-12,13-May-14,1,,1.0,25.0,4.0,H,NM,0.625,173
85,LS_21Jun12_10,LS,21-Jun-12,13-May-14,4,,0.0,60.0,4.0,H,NM,1.5,173
86,LS_21Jun12_11,LS,21-Jun-12,13-May-14,4,,1.0,27.0,4.0,H,NM,0.675,173
87,LS_21Jun12_12,LS,21-Jun-12,13-May-14,4,,1.0,23.0,4.0,H,NM,0.575,173
88,LS_21Jun12_13,LS,21-Jun-12,13-May-14,4,,1.0,22.0,4.0,H,NM,0.55,173
89,LS_21Jun12_14,LS,21-Jun-12,13-May-14,4,,1.0,27.0,4.0,H,NM,0.675,173
90,LS_21Jun12_15,LS,21-Jun-12,13-May-14,5,,1.0,24.0,4.0,H,NM,0.6,173
91,LS_21Jun12_2,LS,21-Jun-12,13-May-14,1,,1.0,28.0,4.0,H,NM,0.7,173
92,LS_21Jun12_3,LS,21-Jun-12,13-May-14,1,,0.0,40.0,4.0,H,NM,1.0,173
93,LS_21Jun12_4,LS,21-Jun-12,13-May-14,1,,1.0,30.0,4.0,H,NM,0.75,173
94,LS_21Jun12_5,LS,21-Jun-12,13-May-14,2,,1.0,20.0,4.0,H,NM,0.5,173
95,LS_21Jun12_6,LS,21-Jun-12,13-May-14,4,,1.0,29.0,4.0,H,NM,0.725,173
96,LS_21Jun12_7,LS,21-Jun-12,13-May-14,4,,1.0,25.0,4.0,H,NM,0.625,173
97,LS_21Jun12_8,LS,21-Jun-12,13-May-14,4,,1.0,28.0,4.0,H,NM,0.7,173
98,LS_21Jun12_9,LS,21-Jun-12,13-May-14,4,,1.0,25.0,4.0,H,NM,0.625,173
99,LS_23Jun12_1,LS,23-Jun-12,9-May-14,1,,0.0,22.0,3.0,H,NM,0.733,175
100,LS_23Jun12_10,LS,23-Jun-12,9-May-14,1,,0.0,27.0,3.0,H,NM,0.9,175
101,LS_23Jun12_11,LS,23-Jun-12,9-May-14,2,,0.0,24.0,3.0,H,NM,0.8,175
102,LS_23Jun12_12,LS,23-Jun-12,9-May-14,2,,0.0,25.0,3.0,H,NM,0.833,175
103,LS_23Jun12_13,LS,23-Jun-12,9-May-14,2,,0.0,29.0,3.0,H,NM,0.9670000000000001,175
104,LS_23Jun12_14,LS,23-Jun-12,9-May-14,2,,0.0,26.0,3.0,H,NM,0.867,175
105,LS_23Jun12_15,LS,23-Jun-12,9-May-14,2,,0.0,25.0,3.0,H,NM,0.833,175
106,LS_23Jun12_16,LS,23-Jun-12,9-May-14,2,,1.0,20.0,3.0,H,NM,0.667,175
107,LS_23Jun12_17,LS,23-Jun-12,9-May-14,2,,0.0,46.0,3.0,H,NM,1.5330000000000001,175
108,LS_23Jun12_18,LS,23-Jun-12,9-May-14,2,,0.0,30.0,3.0,H,NM,1.0,175
109,LS_23Jun12_19,LS,23-Jun-12,9-May-14,2,,0.0,38.0,3.0,H,NM,1.2670000000000001,175
110,LS_23Jun12_2,LS,23-Jun-12,9-May-14,1,,0.0,27.0,3.0,H,NM,0.9,175
111,LS_23Jun12_20,LS,23-Jun-12,9-May-14,2,,0.0,29.0,3.0,H,NM,0.9670000000000001,175
112,LS_23Jun12_21,LS,23-Jun-12,9-May-14,2,,0.0,24.0,3.0,H,NM,0.8,175
113,LS_23Jun12_22,LS,23-Jun-12,9-May-14,2,,0.0,29.0,3.0,H,NM,0.9670000000000001,175
114,LS_23Jun12_23,LS,23-Jun-12,9-May-14,2,,0.0,24.0,3.0,H,NM,0.8,175
115,LS_23Jun12_24,LS,23-Jun-12,9-May-14,2,,0.0,22.0,3.0,H,NM,0.733,175
116,LS_23Jun12_25,LS,23-Jun-12,9-May-14,2,,0.0,24.0,3.0,H,NM,0.8,175
117,LS_23Jun12_26,LS,23-Jun-12,9-May-14,2,,0.0,28.0,3.0,H,NM,0.9329999999999999,175
118,LS_23Jun12_27,LS,23-Jun-12,9-May-14,2,,1.0,17.0,3.0,H,NM,0.5670000000000001,175
